return_id,transaction_id,store_id,return_date,return_amount
R101,T1002,S001,2026-06-02,1800
R102,T1006,S003,2026-06-03,1200
R103,T1014,S002,2026-06-06,1900
R104,T1022,S001,2026-06-09,2100
R105,T1026,S003,2026-06-10,1400
R106,T1034,S002,2026-06-13,2100
R107,T1042,S001,2026-06-16,2300
R108,T1046,S003,2026-06-17,1600
R109,T1054,S002,2026-06-20,2300
R110,T1062,S001,2026-06-23,2500
R111,T1066,S003,2026-06-24,1800
R112,T1074,S002,2026-06-27,2500
R113,T1082,S001,2026-06-30,2700
R114,T1086,S003,2026-07-01,2000
R115,T1094,S002,2026-07-04,2700
R116,T1102,S001,2026-07-07,2900
R117,T1106,S003,2026-07-08,2200
R118,T1114,S002,2026-07-11,2900
R119,T1122,S001,2026-07-14,3100
R120,T1126,S003,2026-07-15,2400
R121,T1134,S002,2026-07-18,3200
R122,T1142,S001,2026-07-21,3400
R123,T1146,S003,2026-07-22,2700
R124,T1154,S002,2026-07-25,3500
