shift_id,store_id,shift_date,staff_hours
SH001,S001,2026-06-01,48
SH002,S002,2026-06-01,40
SH003,S003,2026-06-01,52
SH004,S001,2026-06-02,46
SH005,S002,2026-06-02,42
SH006,S003,2026-06-02,50
SH007,S001,2026-06-03,48
SH008,S002,2026-06-03,44
SH009,S003,2026-06-03,54
SH010,S001,2026-06-04,50
SH011,S002,2026-06-04,42
SH012,S003,2026-06-04,52
SH013,S001,2026-06-05,52
SH014,S002,2026-06-05,46
SH015,S003,2026-06-05,56
SH016,S001,2026-06-06,56
SH017,S002,2026-06-06,50
SH018,S003,2026-06-06,60
SH019,S001,2026-06-07,44
SH020,S002,2026-06-07,38
SH021,S001,2026-06-08,46
SH022,S002,2026-06-08,40
SH023,S003,2026-06-08,50
SH024,S001,2026-06-15,48
SH025,S002,2026-06-15,42
SH026,S003,2026-06-15,52
SH027,S001,2026-06-22,50
SH028,S002,2026-06-22,44
SH029,S003,2026-06-22,54
SH030,S001,2026-06-29,52
SH031,S002,2026-06-29,46
SH032,S003,2026-06-29,56
SH033,S001,2026-07-06,54
SH034,S002,2026-07-06,48
SH035,S003,2026-07-06,58
SH036,S001,2026-07-13,56
SH037,S002,2026-07-13,50
SH038,S003,2026-07-13,60
SH039,S001,2026-07-20,58
SH040,S002,2026-07-20,52
SH041,S003,2026-07-20,62
