transaction_id,store_id,transaction_date,revenue
T1001,S001,2026-06-01,2500
T1002,S001,2026-06-01,1800
T1003,S002,2026-06-01,3200
T1004,S002,2026-06-02,2100
T1005,S003,2026-06-02,4500
T1006,S003,2026-06-02,1200
T1007,S001,2026-06-03,2900
T1008,S002,2026-06-03,3100
T1009,S003,2026-06-03,1900
T1010,S001,2026-06-04,4100
T1011,S002,2026-06-04,2700
T1012,S003,2026-06-04,3600
T1013,S001,2026-06-05,5200
T1014,S002,2026-06-05,1900
T1015,S003,2026-06-05,4800
T1016,S001,2026-06-06,6100
T1017,S002,2026-06-06,5300
T1018,S003,2026-06-06,5900
T1019,S001,2026-06-07,3400
T1020,S002,2026-06-07,2800
T1021,S001,2026-06-08,2700
T1022,S001,2026-06-08,2100
T1023,S002,2026-06-08,3400
T1024,S002,2026-06-09,2300
T1025,S003,2026-06-09,4900
T1026,S003,2026-06-09,1400
T1027,S001,2026-06-10,3100
T1028,S002,2026-06-10,3300
T1029,S003,2026-06-10,2100
T1030,S001,2026-06-11,4300
T1031,S002,2026-06-11,2900
T1032,S003,2026-06-11,3800
T1033,S001,2026-06-12,5500
T1034,S002,2026-06-12,2100
T1035,S003,2026-06-12,5100
T1036,S001,2026-06-13,6400
T1037,S002,2026-06-13,5600
T1038,S003,2026-06-13,6200
T1039,S001,2026-06-14,3700
T1040,S002,2026-06-14,3100
T1041,S001,2026-06-15,2900
T1042,S001,2026-06-15,2300
T1043,S002,2026-06-15,3600
T1044,S002,2026-06-16,2500
T1045,S003,2026-06-16,5200
T1046,S003,2026-06-16,1600
T1047,S001,2026-06-17,3300
T1048,S002,2026-06-17,3500
T1049,S003,2026-06-17,2300
T1050,S001,2026-06-18,4500
T1051,S002,2026-06-18,3100
T1052,S003,2026-06-18,4000
T1053,S001,2026-06-19,5800
T1054,S002,2026-06-19,2300
T1055,S003,2026-06-19,5400
T1056,S001,2026-06-20,6700
T1057,S002,2026-06-20,5900
T1058,S003,2026-06-20,6500
T1059,S001,2026-06-21,3900
T1060,S002,2026-06-21,3300
T1061,S001,2026-06-22,3100
T1062,S001,2026-06-22,2500
T1063,S002,2026-06-22,3800
T1064,S002,2026-06-23,2700
T1065,S003,2026-06-23,5500
T1066,S003,2026-06-23,1800
T1067,S001,2026-06-24,3500
T1068,S002,2026-06-24,3700
T1069,S003,2026-06-24,2500
T1070,S001,2026-06-25,4800
T1071,S002,2026-06-25,3300
T1072,S003,2026-06-25,4200
T1073,S001,2026-06-26,6100
T1074,S002,2026-06-26,2500
T1075,S003,2026-06-26,5700
T1076,S001,2026-06-27,7000
T1077,S002,2026-06-27,6200
T1078,S003,2026-06-27,6800
T1079,S001,2026-06-28,4200
T1080,S002,2026-06-28,3600
T1081,S001,2026-06-29,3300
T1082,S001,2026-06-29,2700
T1083,S002,2026-06-29,4000
T1084,S002,2026-06-30,2900
T1085,S003,2026-06-30,5800
T1086,S003,2026-06-30,2000
T1087,S001,2026-07-01,3700
T1088,S002,2026-07-01,3900
T1089,S003,2026-07-01,2700
T1090,S001,2026-07-02,5000
T1091,S002,2026-07-02,3500
T1092,S003,2026-07-02,4500
T1093,S001,2026-07-03,6300
T1094,S002,2026-07-03,2700
T1095,S003,2026-07-03,6000
T1096,S001,2026-07-04,7300
T1097,S002,2026-07-04,6500
T1098,S003,2026-07-04,7100
T1099,S001,2026-07-05,4400
T1100,S002,2026-07-05,3800
T1101,S001,2026-07-06,3500
T1102,S001,2026-07-06,2900
T1103,S002,2026-07-06,4200
T1104,S002,2026-07-07,3100
T1105,S003,2026-07-07,6000
T1106,S003,2026-07-07,2200
T1107,S001,2026-07-08,3900
T1108,S002,2026-07-08,4100
T1109,S003,2026-07-08,2900
T1110,S001,2026-07-09,5200
T1111,S002,2026-07-09,3700
T1112,S003,2026-07-09,4700
T1113,S001,2026-07-10,6600
T1114,S002,2026-07-10,2900
T1115,S003,2026-07-10,6300
T1116,S001,2026-07-11,7600
T1117,S002,2026-07-11,6800
T1118,S003,2026-07-11,7400
T1119,S001,2026-07-12,4700
T1120,S002,2026-07-12,4000
T1121,S001,2026-07-13,3800
T1122,S001,2026-07-13,3100
T1123,S002,2026-07-13,4500
T1124,S002,2026-07-14,3300
T1125,S003,2026-07-14,6400
T1126,S003,2026-07-14,2400
T1127,S001,2026-07-15,4200
T1128,S002,2026-07-15,4400
T1129,S003,2026-07-15,3100
T1130,S001,2026-07-16,5500
T1131,S002,2026-07-16,4000
T1132,S003,2026-07-16,5000
T1133,S001,2026-07-17,7000
T1134,S002,2026-07-17,3200
T1135,S003,2026-07-17,6700
T1136,S001,2026-07-18,8000
T1137,S002,2026-07-18,7200
T1138,S003,2026-07-18,7800
T1139,S001,2026-07-19,5000
T1140,S002,2026-07-19,4300
T1141,S001,2026-07-20,4100
T1142,S001,2026-07-20,3400
T1143,S002,2026-07-20,4800
T1144,S002,2026-07-21,3600
T1145,S003,2026-07-21,6800
T1146,S003,2026-07-21,2700
T1147,S001,2026-07-22,4500
T1148,S002,2026-07-22,4700
T1149,S003,2026-07-22,3400
T1150,S001,2026-07-23,5800
T1151,S002,2026-07-23,4300
T1152,S003,2026-07-23,5300
T1153,S001,2026-07-24,7400
T1154,S002,2026-07-24,3500
T1155,S003,2026-07-24,7100
T1156,S001,2026-07-25,8400
T1157,S002,2026-07-25,7600
T1158,S003,2026-07-25,8200
T1159,S001,2026-07-26,5300
T1160,S002,2026-07-26,4600
T9001,S099,2026-06-05,1500
T9002,S099,2026-06-12,2200
T9003,S099,2026-06-19,1800
T9004,S099,2026-06-26,2400
T9005,S099,2026-07-03,2100
T9006,S099,2026-07-10,2500
T9007,S099,2026-07-17,1900
T9008,S099,2026-07-24,2800
T9009,S099,2026-06-07,3100
T9010,S099,2026-06-14,2700
T9011,S099,2026-06-21,2900
T9012,S099,2026-06-28,3300
T1001,S001,2026-06-01,2500
T1008,S002,2026-06-03,3100
T1020,S002,2026-06-07,2800
T1035,S003,2026-06-12,5100
T1050,S001,2026-06-18,4500
T1077,S002,2026-06-27,6200
T1112,S003,2026-07-09,4700
T9013,S001,2026-06-02,
T9014,S002,2026-06-05,
T9015,S003,2026-06-09,
T9016,S001,2026-06-15,
T9017,S002,2026-06-20,
T9018,S003,2026-06-25,
T9019,S001,2026-07-01,
T9020,S002,2026-07-05,
T9021,S003,2026-07-11,
T9022,S001,2026-07-15,
T9023,S002,2026-07-20,
T9024,S003,2026-07-25,
T9025,S001,2026-06-03,1200
T9026,S002,2026-06-10,1400
T9027,S003,2026-06-17,1100
T9028,S001,2026-06-24,1300
T9029,S002,2026-07-02,1500
T9030,S003,2026-07-08,1600
T9031,S001,2026-99-99,2500
T9032,S002,2026-13-45,3000
T9033,S003,2026-00-00,1800
T9034,S001,2026-99-01,2200
T9035,S001,2026-06-15,-500
T9036,S002,2026-06-22,-1200
T9037,S003,2026-07-05,-800
